年月,日,3-1氣温(℃)-平均
202203,1,1.7
202203,9,1.8
202203,21,1.8
202203,19,1.9
202203,2,2
202203,7,2.5
202203,8,2.5
202203,13,2.7
202203,10,2.8
202203,18,2.9
202203,20,3
202203,22,3
202203,17,3.1
202203,14,4.1
202203,16,4.7
202203,24,4.7
202203,12,4.8
202203,31,4.9
202203,11,5
202203,23,5
202203,15,5.4
202203,28,5.4
202203,26,5.8
202203,29,6.2
202203,25,6.4
202203,27,8.1
202203,30,9
202204,1,3.5
202204,7,4.2
202204,2,4.7
202204,8,5.3
202204,3,5.4
202204,15,6.1
202204,4,6.2
202204,14,7.3
202204,29,7.6
202204,16,7.7
202204,5,8.4
202204,6,8.4
202204,19,9.6
202204,20,9.6
202204,30,9.7
202204,13,10.2
202204,10,10.6
202204,17,10.7
202204,24,10.7
202204,9,11.6
202204,28,11.9
202204,18,12.2
202204,23,12.5
202204,26,12.5
202204,27,12.8
202204,25,14.7
202204,22,14.8
202204,21,17.3
202204,12,17.5
202204,11,17.8
202205,2,9.8
202205,1,10.1
202205,3,10.9
202205,8,12.5
202205,5,12.6
202205,15,13.1
202205,9,13.2
202205,16,13.4
202205,11,13.7
202205,31,14
202205,4,14.3
202205,17,14.3
202205,10,14.7
202205,14,14.7
202205,6,15
202205,28,15.1
202205,18,15.2
202205,13,15.3
202205,12,15.7
202205,22,15.8
202205,27,15.8
202205,21,16
202205,19,16.1
202205,7,16.2
202205,30,16.2
202205,23,16.3
202205,20,16.8
202205,29,16.8
202205,26,17.1
202205,24,17.3
202205,25,17.9
202206,7,11.4
202206,6,12.8
202206,8,13.4
202206,4,13.6
202206,9,14.2
202206,5,14.3
202206,15,14.9
202206,3,15.5
202206,1,15.8
202206,2,15.8
202206,10,16
202206,12,16.4
202206,13,16.4
202206,11,16.8
202206,14,16.9
202206,17,19.2
202206,21,19.3
202206,23,19.4
202206,16,19.8
202206,18,20.4
202206,22,20.4
202206,19,20.6
202206,30,21.5
202206,20,22.1
202206,28,22.4
202206,24,22.5
202206,27,24.2
202206,29,24.3
202206,25,25.8
202206,26,25.9
202207,1,18.8
202207,17,19.8
202207,22,21.3
202207,23,21.5
202207,9,21.6
202207,16,21.8
202207,19,21.8
202207,20,22
202207,10,22.6
202207,2,22.8
202207,25,22.8
202207,14,22.9
202207,7,23
202207,8,23
202207,24,23.1
202207,13,23.3
202207,21,23.4
202207,18,23.5
202207,11,23.6
202207,12,23.6
202207,15,23.7
202207,4,24.1
202207,27,24.1
202207,29,24.1
202207,5,24.2
202207,26,24.3
202207,6,24.7
202207,28,25.2
202207,30,25.5
202207,3,26.1
202207,31,27.7
202302,15,-4.8
202302,3,-3.5
202302,9,-3
202302,21,-3
202302,2,-2.8
202302,14,-2.5
202302,16,-2.2
202302,26,-2.2
202302,4,-1.8
202302,10,-1.5
202302,5,-1.2
202302,20,-1.2
202302,22,-0.9
202302,25,-0.8
202302,8,-0.7
202302,1,-0.3
202302,13,0.7
202302,7,1.4
202302,11,1.4
202302,27,1.6
202302,12,2.3
202302,24,2.3
202302,6,2.4
202302,23,2.6
202302,19,2.7
202302,17,2.8
202302,18,4.4
202302,28,7.4
202303,3,1.4
202303,2,1.7
202303,5,1.7
202303,4,2.7
202303,14,3.3
202303,6,3.7
202303,18,4.1
202303,15,4.5
202303,26,4.8
202303,17,4.9
202303,12,5
202303,13,5
202303,16,5.2
202303,25,5.4
202303,10,5.7
202303,11,5.7
202303,28,6.1
202303,29,6.4
202303,27,6.7
202303,1,6.9
202303,9,6.9
202303,19,6.9
202303,7,7.4
202303,21,7.8
202303,30,8.1
202303,24,8.5
202303,23,8.8
202303,22,9
202303,20,9.2
202303,31,9.6
202303,8,10.5
202304,9,5.4
202304,17,6.2
202304,2,6.8
202304,3,7.2
202304,1,8.1
202304,8,8.6
202304,22,8.6
202304,24,8.6
202304,23,9.2
202304,16,9.6
202304,15,9.9
202304,18,10
202304,26,10.3
202304,4,10.6
202304,19,10.6
202304,25,10.7
202304,12,10.8
202304,27,11.1
202304,5,11.3
202304,13,11.7
202304,21,12
202304,10,12.2
202304,7,13
202304,29,13.1
202304,6,14
202304,14,14
202304,20,14.1
202304,28,14.2
202304,30,14.4
202304,11,16.1
